order,Date,Price,Open,High,Low,Vol.,Change %
515,"Jan 18, 2018","1,387.40","1,387.40","1,387.40","1,387.40",0.05K,-0.88%
514,"Jan 19, 2018","1,394.30","1,394.30","1,394.30","1,394.30",0.01K,0.50%
513,"Jan 22, 2018","1,394.00","1,394.00","1,394.00","1,394.00",0.02K,-0.02%
512,"Jan 23, 2018","1,398.20","1,398.20","1,398.20","1,398.20",0.02K,0.30%
511,"Jan 24, 2018","1,419.10","1,419.10","1,419.10","1,419.10",0.32K,1.49%
510,"Jan 25, 2018","1,425.90","1,418.80","1,418.80","1,418.80",0.00K,0.48%
509,"Jan 26, 2018","1,416.00","1,414.00","1,416.50","1,414.00",0.09K,-0.69%
508,"Jan 29, 2018","1,403.60","1,412.00","1,412.00","1,403.00",0.39K,-0.88%
507,"Jan 30, 2018","1,398.50","1,398.50","1,398.50","1,398.50",0.20K,-0.36%
506,"Jan 31, 2018","1,401.70","1,405.80","1,407.50","1,405.80",0.01K,0.23%
505,"Feb 01, 2018","1,406.70","1,406.70","1,406.70","1,406.70",0.06K,0.36%
504,"Feb 02, 2018","1,396.20","1,396.20","1,396.20","1,396.20",0.06K,-0.75%
503,"Feb 05, 2018","1,394.50","1,394.50","1,394.50","1,394.50",0.31K,-0.12%
502,"Feb 06, 2018","1,387.00","1,405.20","1,405.20","1,385.00",0.02K,-0.54%
